temperature,top_p,completion_tokens,total_tokens,finish_reason,response_length
0.0,0.3,953,1872,stop,4601
0.0,0.5,942,1861,stop,4534
0.0,0.7,1000,1919,length,4694
0.0,0.9,897,1816,stop,4205
0.0,1.0,1000,1919,length,4693
0.3,0.3,977,1896,stop,4743
0.3,0.5,1000,1919,length,4776
0.3,0.7,874,1793,stop,4165
0.3,0.9,1000,1919,length,4778
0.3,1.0,1000,1919,length,4766
0.5,0.3,920,1839,stop,4388
0.5,0.5,995,1914,stop,4731
0.5,0.7,746,1665,stop,3468
0.5,0.9,828,1747,stop,3933
0.5,1.0,833,1752,stop,3981
0.7,0.3,1000,1919,length,4731
0.7,0.5,1000,1919,length,4755
0.7,0.7,753,1672,stop,3531
0.7,0.9,663,1582,stop,3241
0.7,1.0,1000,1919,length,4650
1.0,0.3,1000,1919,length,4812
1.0,0.5,1000,1919,length,4737
1.0,0.7,539,1458,stop,2377
1.0,0.9,1000,1919,length,4699
1.0,1.0,684,1603,stop,3392
1.5,0.3,1000,1919,length,4812
1.5,0.5,1000,1919,length,4812
1.5,0.7,646,1565,stop,3011
1.5,0.9,676,1595,stop,3238
1.5,1.0,1000,1919,length,5031
